ï»¿"STATISTIC","Statistic Label","TLIST(A1)","Graduation Year","C03433V04141","Years since Graduation","C04477V05260","Field of Study","UNIT","VALUE"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","504","Physiotherapy","Euro","795"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","402","Radiography and Radiation Therapy","Euro","845"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","702","Social Care","Euro","638"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","701","Social Work","Euro","881"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","10","Speech and Language Therapy","Euro","778"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","06","6","V52","Dietetics, Optometry and Podiatry","Euro","935"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","201","Dentistry","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","401","Medical Science","Euro","1027"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","202","Medicine","Euro","1644"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","30","Nursing and Midwifery","Euro","886"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","501","Occupational Therapy","Euro","826"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","60","Pharmacy","Euro",""
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","504","Physiotherapy","Euro","803"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","402","Radiography and Radiation Therapy","Euro","851"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","702","Social Care","Euro","658"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","701","Social Work","Euro","941"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","10","Speech and Language Therapy","Euro","861"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","07","7","V52","Dietetics, Optometry and Podiatry","Euro","950"
"HGO15C01","Median Weekly Earnings of Health Graduates","2011","2011","08","8","201","Dentistry","Euro","904"
